player_id,player_name,at_bat,rbi_average,hit_average,line_average,ground_average,fly_average,strikeout_average,lineup_position
iannc001,Chris Iannetta,2848,0.1412,0.2289,0.1475,0.2904,0.2967,0.2795,8         
hilla001,Aaron Hill,5578,0.1233,0.2675,0.1933,0.3351,0.3347,0.1495,2         
harrj002,Josh Harrison,1957,0.0945,0.2836,0.2121,0.372,0.2831,0.1528,1         
galvf001,Freddy Galvis,1657,0.1038,0.2414,0.1986,0.3476,0.2649,0.207,8         
solad001,Donovan Solano,1068,0.0927,0.2566,0.2013,0.427,0.2069,0.1845,2         
gorda001,Alex Gordon,4690,0.12,0.264,0.1672,0.3041,0.2921,0.2448,1         
gillc001,Conor Gillaspie,1344,0.1116,0.256,0.2195,0.3385,0.2753,0.1749,6         
crisc001,Coco Crisp,5930,0.1078,0.2651,0.1734,0.4115,0.2863,0.1459,1         
jennd002,Desmond Jennings,2076,0.092,0.2447,0.1479,0.3815,0.2543,0.2317,1         
castn001,Nick Castellanos,1511,0.1304,0.2647,0.2098,0.2694,0.2647,0.2674,6         
hundn001,Nick Hundley,2458,0.1241,0.2498,0.181,0.3133,0.2648,0.2547,7         
tejar001,Ruben Tejada,1997,0.0766,0.2524,0.2163,0.3691,0.2629,0.1708,8         
jay-j001,Jon Jay,2703,0.0936,0.2875,0.2024,0.4676,0.1676,0.1839,2         
coghc001,Chris Coghlan,2505,0.0914,0.2599,0.1972,0.3984,0.2092,0.2048,1         
rollj001,Jimmy Rollins,9294,0.1007,0.2641,0.1659,0.3577,0.3144,0.136,1         
lucrj001,Jonathan Lucroy,2990,0.1398,0.2836,0.2234,0.3575,0.2662,0.1642,3         
sprig001,George Springer,1327,0.1311,0.2585,0.1801,0.3369,0.1869,0.3022,1         
lemad001,DJ LeMahieu,2303,0.0968,0.2996,0.2406,0.4716,0.1307,0.1759,2         
desmi001,Ian Desmond,4105,0.1262,0.2667,0.161,0.3898,0.2071,0.2558,2         
beltc001,Carlos Beltran,8580,0.1656,0.2805,0.1444,0.3383,0.2965,0.1816,3         
seagk001,Kyle Seager,3201,0.1365,0.2659,0.2209,0.3002,0.3015,0.1849,5         
suzui001,Ichiro Suzuki,9689,0.0784,0.3127,0.1654,0.4934,0.2001,0.107,1         
pradm001,Martin Prado,4791,0.1177,0.2926,0.2016,0.4331,0.2588,0.1206,2         
gordd002,Dee Gordon,2170,0.059,0.2889,0.1751,0.5249,0.1447,0.1673,1         
kempm001,Matt Kemp,5288,0.1619,0.2861,0.18,0.3209,0.2528,0.2585,3         
amara001,Alexi Amarista,1582,0.0948,0.2301,0.1966,0.4223,0.2415,0.1625,8         
ramih003,Hanley Ramirez,5627,0.1454,0.295,0.1754,0.3766,0.2664,0.1894,3         
wrigd002,David Wright,5996,0.1618,0.2964,0.187,0.3124,0.2962,0.2155,3         
markn001,Nick Markakis,6542,0.1223,0.2887,0.188,0.4011,0.2735,0.1464,3         
reimn001,Nolan Reimold,1378,0.1263,0.246,0.1161,0.3628,0.2743,0.2583,8         
reveb001,Ben Revere,2847,0.0625,0.2852,0.1928,0.5813,0.1394,0.0994,1         
ruggj001,Justin Ruggiano,1280,0.1242,0.2578,0.1563,0.3211,0.2359,0.2945,5         
johnk003,Kelly Johnson,4542,0.1211,0.251,0.148,0.3307,0.2801,0.2519,2         
mccua001,Andrew McCutchen,4463,0.1427,0.2922,0.1954,0.3314,0.2772,0.2066,3         
iglej001,Jose Iglesias,1306,0.0658,0.2757,0.1769,0.5046,0.2067,0.1309,9         
morrl001,Logan Morrison,2441,0.1217,0.2446,0.1757,0.3658,0.2622,0.202,4         
aybae001,Erick Aybar,4842,0.0931,0.2734,0.1677,0.4839,0.2443,0.1266,1         
murpd006,Daniel Murphy,3885,0.1302,0.2963,0.2211,0.3858,0.2762,0.1279,2         
belta001,Adrian Beltre,9562,0.155,0.2878,0.166,0.3416,0.3073,0.1508,4         
weekr001,Rickie Weeks,4320,0.1079,0.2468,0.1363,0.3481,0.2488,0.2734,1         
encae001,Edwin Encarnacion,5409,0.1742,0.266,0.1819,0.3026,0.3391,0.1856,4         
incie001,Ender Inciarte,1464,0.069,0.2917,0.2527,0.4768,0.1605,0.1223,1         
hilla001,Aaron Hill,5578,0.1233,0.2675,0.1933,0.3351,0.3347,0.1495,2         
gonza003,Adrian Gonzalez,6739,0.1701,0.29,0.1994,0.3383,0.2763,0.1965,3         
butlb003,Billy Butler,5104,0.1426,0.2898,0.1824,0.4146,0.248,0.1644,4         
ellia001,A.J. Ellis,1654,0.1209,0.2388,0.1862,0.3785,0.2497,0.2104,8         
sotog001,Geovany Soto,2480,0.1419,0.2464,0.1653,0.2923,0.2847,0.2673,7         
flahr001,Ryan Flaherty,1104,0.1123,0.2156,0.135,0.3777,0.2274,0.2736,8         
gonzm002,Marwin Gonzalez,1522,0.088,0.2569,0.1886,0.4218,0.2004,0.2076,2         
aokin001,Nori Aoki,2380,0.0773,0.2861,0.1845,0.571,0.171,0.0899,1         
ramij003,Jose Ramirez,1129,0.1063,0.2755,0.2391,0.4172,0.2453,0.1222,5         
millb002,Brad Miller,1659,0.12,0.2459,0.1826,0.358,0.2333,0.2393,2         
piera001,A.J. Pierzynski,7258,0.1247,0.2802,0.1664,0.4041,0.2819,0.1225,6         
mathj001,Jeff Mathis,2038,0.1148,0.1968,0.1212,0.3037,0.3023,0.3086,8         
cartc002,Chris Carter,2285,0.1637,0.2184,0.158,0.1943,0.277,0.3829,5         
navad001,Dioner Navarro,3207,0.1144,0.2501,0.1905,0.3589,0.3081,0.1615,8         
uptob001,Melvin Upton,5174,0.1133,0.2435,0.1422,0.3226,0.2472,0.3015,2         
congh001,Hank Conger,1013,0.1125,0.2211,0.156,0.309,0.2853,0.2636,8         
villj001,Jonathan Villar,1178,0.0925,0.2606,0.1638,0.427,0.1282,0.3005,1         
andre001,Elvis Andrus,4625,0.0943,0.2737,0.1924,0.5059,0.1831,0.1479,2         
beckg001,Gordon Beckham,3120,0.1074,0.2397,0.1676,0.3519,0.3096,0.1891,2         
stubd001,Drew Stubbs,2812,0.1006,0.2436,0.1277,0.3236,0.2187,0.3425,1         
vottj001,Joey Votto,4501,0.1622,0.3126,0.2259,0.3326,0.2255,0.2231,3         
pachj001,Jordan Pacheco,1076,0.1059,0.2723,0.2314,0.3866,0.2407,0.1515,6         
vogts001,Stephen Vogt,1364,0.1305,0.2551,0.2339,0.2801,0.3152,0.1826,5         
davii001,Ike Davis,2076,0.1402,0.2389,0.1551,0.3266,0.2688,0.2592,4         
eatoa002,Adam Eaton,2050,0.0863,0.2839,0.1868,0.4717,0.1639,0.1893,1         
valbl001,Luis Valbuena,2535,0.1061,0.232,0.1771,0.312,0.2895,0.2296,8         
ryanb002,Brendan Ryan,2591,0.0783,0.2331,0.1559,0.4014,0.2783,0.1891,9         
kendh001,Howie Kendrick,5068,0.1174,0.2891,0.1736,0.4674,0.1837,0.1853,6         
gregd001,Didi Gregorius,1734,0.1055,0.2601,0.2111,0.3645,0.2739,0.1667,8         
moliy001,Yadier Molina,5591,0.1257,0.2849,0.2052,0.4352,0.2712,0.1045,6         
gomey001,Yan Gomes,1490,0.1369,0.2463,0.196,0.2966,0.2597,0.2631,7         
calhk001,Kole Calhoun,1935,0.1287,0.2661,0.2264,0.3318,0.2284,0.2238,1         
johnk003,Kelly Johnson,4542,0.1211,0.251,0.148,0.3307,0.2801,0.2519,2         
bonie001,Emilio Bonifacio,2572,0.063,0.2582,0.1493,0.4561,0.1862,0.2309,1         
mercj002,Jordy Mercer,1814,0.0992,0.2569,0.2023,0.4195,0.2194,0.177,8         
